# name AV AVunc RV RVunc
2massj085747 4.7616 0.020023995605273192 3.10979 0.0404
2massj130152 5.53131 0.020006001599520082 3.1804900000000003 0.0202
2massj150958 4.485029999999999 0.020006001599520082 3.0693900000000003 0.0202
2massj170756 5.29131 0.020006001599520082 3.0491900000000003 0.0202
2massj173628 4.99307 0.03009987541502456 3.31179 0.1111
2massj181129 4.454829999999999 0.02014950371597276 3.4834899999999998 0.1313
2massj182302 5.50327 0.02014950371597276 3.2410900000000002 0.0909
2massj203110 4.9666999999999994 0.02014950371597276 3.0491900000000003 0.0909
2massj203234 6.237299999999999 0.020291991030946175 2.83709 0.0909
2massj203311 6.791910000000001 0.03048035596904997 2.93809 0.1313
2massj203326 6.1822 0.020214935072861352 2.93809 0.0808
2massj204521 6.1741600000000005 0.03025502272350824 2.9885900000000003 0.101
